No,Ref,V,BV,UB
1,240,13.029,1.035,0.682
2,240,14.93,0.783,0.305
14,240,10.761,0.618,0.113
16,240,13.002,0.472,-0.033
101,240,16.861,0.892,
102,240,18.496,0.745,
103,240,18.895,1.134,
104,240,18.221,1.043,
105,240,17.529,0.927,
106,240,17.252,0.892,0.688
107,240,19.706,0.449,
108,240,17.101,1.185,
109,240,17.803,1.155,
110,240,18.17,0.625,
111,240,18.588,1.09,
112,240,17.926,1.088,
113,240,14.368,0.678,0.097
114,240,18.531,0.962,
115,240,16.471,0.616,-0.016
116,240,17.351,0.888,0.478
117,240,18.528,0.867,
118,240,17.974,0.744,
119,240,16.356,0.632,-0.063
120,240,16.403,1.056,0.781
121,240,16.263,0.778,0.253
122,240,19.34,0.888,
123,240,18.539,1.172,
124,240,16.255,0.812,0.123
125,240,18.215,0.679,0.163
126,240,16.104,0.706,0.201
127,240,17.592,0.971,0.848
128,240,17.575,0.669,-0.002
129,240,18.923,1.076,
130,240,18.626,1.263,
131,240,17.092,0.887,0.308
132,240,17.407,0.847,
133,240,17.094,0.882,0.533
134,240,16.36,0.766,0.312
135,240,19.338,1.286,
136,240,17.607,0.957,
137,240,16.358,0.744,0.217
138,240,16.998,0.788,0.221
139,240,19.125,1.153,
140,240,19.255,0.889,
141,240,18.148,1.306,
142,240,17.938,0.805,
143,240,18.784,0.952,
144,240,16.159,0.723,0.263
145,240,17.222,1.057,0.642
146,240,19.859,1.196,
147,240,16.957,0.909,
148,240,17.699,0.811,0.864
149,240,18.119,0.885,0.373
150,240,18.831,0.793,
151,240,17.035,0.617,0.057
152,240,17.808,1.02,
153,240,16.615,0.763,
154,240,16.284,0.765,0.28
155,240,16.669,0.829,0.313
156,240,17.988,1.108,
157,240,19.97,0.537,
158,240,19.481,1.416,
159,240,18.411,0.494,
160,240,16.877,0.809,0.43
161,240,18.349,0.441,-0.174
162,240,17.937,0.653,0.174
163,240,18.022,1.026,
164,240,18.598,1.304,
165,240,18.764,1.254,
166,240,18.157,0.738,
167,240,18.662,1.322,
168,240,19.187,1.291,
169,240,19.159,1.034,
170,240,16.502,0.581,-0.059
171,240,16.86,0.835,0.435
172,240,18.817,1.216,
173,240,17.812,0.79,0.265
174,240,19.673,1.155,
175,240,19.458,1.076,
176,240,18.121,0.893,
177,240,17.243,0.756,0.017
178,240,17.648,0.934,
179,240,16.464,0.794,0.217
180,240,19.345,1.134,
181,240,17.778,1.029,
182,240,18.358,1.138,
183,240,19.487,0.741,
184,240,19.706,0.629,
185,240,17.746,1.54,
186,240,19.128,0.891,
187,240,17.146,1.051,0.793
188,240,17.896,0.661,-0.063
189,240,16.925,0.692,0.021
190,240,18.734,1.22,
191,240,17.165,0.798,0.108
192,240,17.921,1.048,
193,240,18.331,1.007,
194,240,16.783,0.815,0.395
195,240,16.966,0.889,0.409
196,240,18.176,0.989,
197,240,17.972,0.926,0.516
198,240,16.789,0.632,0.242
199,240,17.082,0.604,-0.053
200,240,18.273,1.041,
201,240,17.857,0.758,0.253
202,240,18.593,0.573,
203,240,17.953,1.099,
204,240,17.523,1.152,
205,240,16.912,0.861,0.358
206,240,16.72,0.939,0.656
207,240,18.586,1.21,
208,240,17.782,0.718,
209,240,18.587,1.269,
211,240,18.678,0.754,
212,240,17.317,0.71,0.095
213,240,17.985,0.563,-0.052
214,240,17.866,0.547,-0.109
215,240,17.264,1.235,
216,240,16.369,0.733,0.149
217,240,17.724,1.011,0.733
218,240,16.325,0.742,0.28
219,240,16.301,0.657,0.099
220,240,18.236,1.484,
221,240,19.254,1.143,
222,240,18.427,0.518,
223,240,17.035,0.856,0.541
224,240,18.4,1.169,
225,240,19.607,0.501,
226,240,16.235,0.549,-0.225
227,240,19.093,1.294,
228,240,18.619,0.621,-0.091
229,240,17.396,0.695,0.17
230,240,19.803,0.791,
231,240,19.227,0.875,
232,240,18.948,1.575,
233,240,18.03,0.723,
234,240,18.338,1.086,
235,240,17.606,1.203,0.8
236,240,19.502,0.744,
237,240,17.187,0.544,0.014
238,240,19.138,1.519,
239,240,18.518,1.411,
240,240,16.807,0.842,0.412
241,240,16.611,0.819,0.364
242,240,17.882,0.604,-0.116
243,240,18.525,1.118,
244,240,17.382,0.781,0.197
245,240,18.456,0.028,-1.036
246,240,17.626,0.678,-0.123
247,240,18.647,0.494,
248,240,18.673,1.003,
249,240,17.883,0.987,
250,240,18.395,1.148,
251,240,18.568,1.428,
252,240,18.48,0.663,
253,240,19.096,1.56,
254,240,19.366,1.329,
255,240,18.243,1.177,
256,240,15.827,0.852,0.293
257,240,15.309,0.663,0.008
258,240,18.35,0.777,0.027
259,240,16.612,0.546,-0.108
260,240,18.316,1.011,
261,240,17.751,0.702,0.047
262,240,17.34,1.055,0.556
263,240,18.494,0.883,
264,240,17.86,1.019,
265,240,16.231,0.763,1.475
266,240,18.654,0.987,
267,240,17.467,0.985,
268,240,18.337,1.097,
269,240,16.126,0.653,0.041
270,240,17.977,1.032,
271,240,17.427,0.806,0.27
272,240,19.033,0.28,
273,240,18.398,1.147,
274,240,18.507,1.375,
275,240,16.249,0.68,0.147
276,240,18.039,0.831,
277,240,18.58,1.108,
278,240,17.943,1.032,
279,240,19.137,0.51,
280,240,18.381,1.296,
281,240,18.608,1.284,
282,240,18.345,1.342,
283,240,19.309,0.856,
284,240,17.937,1.01,
285,240,17.707,0.602,-0.19
286,240,18.129,1.09,
287,240,18.411,1.452,
288,240,18.774,1.15,
289,240,18.408,0.833,
290,240,18.667,1.415,
291,240,18.184,0.661,-0.171
292,240,18.517,1.12,
293,240,19.341,1.94,
294,240,17.14,0.723,0.163
295,240,16.869,0.959,0.734
296,240,17.616,1.118,
297,240,16.807,0.823,0.378
298,240,20.178,0.405,
299,240,16.745,0.788,0.272
300,240,17.795,0.698,-0.057
301,240,18.915,0.816,-0.257
302,240,17.133,1.03,0.905
303,240,18.706,0.745,
304,240,17.051,1.243,
305,240,16.289,0.779,0.151
306,240,17.845,1.089,0.735
307,240,16.909,0.753,0.204
308,240,19.123,1.898,
309,240,16.947,0.618,-0.041
310,240,17.47,1.051,
311,240,19.618,0.577,
312,240,17.175,0.907,0.472
313,240,19.413,0.94,
314,240,18.05,1.198,
315,240,16.937,0.932,0.552
316,240,19.125,1.363,
317,240,18.191,0.58,-0.058
318,240,18.558,1.126,
319,240,17.487,0.976,
320,240,16.894,0.64,0.042
321,240,19.265,0.627,
322,240,17.188,0.903,0.473
323,240,16.688,1.513,
324,240,17.668,1.309,
325,240,17.679,0.883,0.331
326,240,17.75,0.951,0.481
327,240,17.806,1.357,
328,240,17.12,1.5,
329,240,17.208,1.048,1.012
330,240,19.262,0.805,
331,240,17.528,0.585,-0.068
332,240,17.958,1.28,
333,240,17.509,0.976,
334,240,16.976,1.28,1.188
335,240,15.83,0.995,0.746
336,240,17.128,0.942,0.673
337,240,16.556,0.663,-0.065
338,240,17.757,0.994,
339,240,18.727,1.08,
340,240,16.266,0.687,0.123
341,240,18.986,1.02,
342,240,18.201,1.103,
343,240,16.879,0.818,0.425
344,240,18.78,1.116,
