logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag
9.6,22.607,19.983,18.146,,,,9.63,22.607,19.983,18.146,,,,9.66,22.606,19.983,18.146,,,,9.69,22.606,19.983,18.145
9.6,22.087,19.5,17.672,,,,9.63,22.358,19.752,17.919,,,,9.66,22.087,19.499,17.672,,,,9.69,22.087,19.499,17.671
9.6,21.03,18.588,16.793,,,,9.63,22.087,19.5,17.672,,,,9.66,21.027,18.586,16.791,,,,9.69,21.026,18.585,16.79
9.6,20.989,18.557,16.764,,,,9.63,21.801,19.232,17.409,,,,9.66,19.477,17.367,15.66,,,,9.69,20.926,18.509,16.719
9.6,19.479,17.369,15.662,,,,9.63,21.029,18.587,16.792,,,,9.66,18.472,16.549,14.89,,,,9.69,19.476,17.366,15.659
9.6,18.474,16.551,14.892,,,,9.63,19.478,17.368,15.661,,,,9.66,17.138,15.431,13.831,,,,9.69,18.471,16.548,14.889
9.6,18.375,16.47,14.815,,,,9.63,19.385,17.293,15.591,,,,9.66,16.033,14.473,12.907,,,,9.69,18.021,16.176,14.536
9.6,17.141,15.434,13.833,,,,9.63,18.473,16.55,14.891,,,,9.66,15.304,13.821,12.288,,,,9.69,17.137,15.43,13.83
9.6,16.037,14.477,12.91,,,,9.63,17.14,15.432,13.832,,,,9.66,14.671,13.246,11.742,,,,9.69,16.03,14.471,12.905
9.6,15.31,13.827,12.294,,,,9.63,16.035,14.475,12.909,,,,9.66,14.144,12.761,11.28,,,,9.69,15.3,13.818,12.285
9.6,14.745,13.314,11.807,,,,9.63,15.307,13.824,12.291,,,,9.66,14.056,12.678,11.201,,,,9.69,15.267,13.788,12.257
9.6,14.674,13.249,11.744,,,,9.63,14.686,13.26,11.755,,,,9.66,13.894,12.525,11.056,,,,9.69,14.669,13.244,11.74
9.6,14.059,12.681,11.204,,,,9.63,14.672,13.247,11.743,,,,9.66,13.451,12.103,10.655,,,,9.69,14.337,12.94,11.45
9.6,13.455,12.107,10.658,,,,9.63,14.058,12.679,11.202,,,,9.66,13.077,11.739,10.308,,,,9.69,14.054,12.676,11.199
9.6,12.838,11.501,10.079,,,,9.63,13.453,12.105,10.656,,,,9.66,12.833,11.496,10.075,,,,9.69,13.449,12.101,10.653
9.6,12.459,11.116,9.707,,,,9.63,12.835,11.499,10.077,,,,9.66,12.178,10.826,9.424,,,,9.69,12.83,11.493,10.072
9.6,12.187,10.836,9.433,,,,9.63,12.755,11.418,10,,,,9.66,11.796,10.428,9.039,,,,9.69,12.371,11.027,9.62
9.6,11.523,10.142,8.768,,,,9.63,12.182,10.831,9.429,,,,9.66,11.511,10.129,8.756,,,,9.69,12.173,10.821,9.419
9.6,10.823,9.402,8.102,,,,9.63,11.517,10.135,8.762,,,,9.66,11.195,9.792,8.449,,,,9.69,11.504,10.121,8.749
9.6,9.965,8.62,7.445,,,,9.63,10.814,9.393,8.094,,,,9.66,10.804,9.382,8.085,,,,9.69,10.793,9.371,8.075
9.6,9.34,8.159,7.071,,,,9.63,9.95,8.608,7.434,,,,9.66,9.934,8.594,7.422,,,,9.69,9.915,8.579,7.41
9.6,8.916,7.861,6.83,,,,9.63,9.61,8.355,7.228,,,,9.66,9.884,8.557,7.392,,,,9.69,9.206,8.06,6.989
9.6,8.212,7.351,6.405,,,,9.63,8.896,7.847,6.818,,,,9.66,8.905,7.852,6.821,,,,9.69,8.853,7.815,6.791
9.6,8.112,7.28,6.346,,,,9.63,8.432,7.506,6.534,,,,9.66,8.875,7.832,6.805,,,,9.69,8.099,7.268,6.335
9.6,7.982,7.186,6.267,,,,9.63,8.089,7.263,6.332,,,,9.66,8.647,7.664,6.665,,,,9.69,8.04,7.227,6.3
9.6,7.39,6.761,5.909,,,,9.63,7.497,6.837,5.972,,,,9.66,8.065,7.245,6.316,,,,9.69,7.884,7.114,6.205
9.6,7.117,6.563,5.74,,,,9.63,7.365,6.742,5.892,,,,9.66,7.689,6.974,6.087,,,,9.69,7.331,6.715,5.868
9.6,6.752,6.294,5.512,,,,9.63,7.29,6.688,5.846,,,,9.66,7.338,6.722,5.874,,,,9.69,7.309,6.7,5.855
9.6,6.623,6.198,5.43,,,,9.63,6.779,6.313,5.527,,,,9.66,6.947,6.437,5.631,,,,9.69,7.118,6.561,5.735
9.6,6.34,5.996,5.258,,,,9.63,6.724,6.272,5.492,,,,9.66,6.693,6.247,5.47,,,,9.69,6.69,6.244,5.466
9.6,6.153,5.857,5.141,,,,9.63,6.504,6.112,5.356,,,,9.66,6.667,6.228,5.454,,,,9.69,6.659,6.221,5.446
9.6,6.099,5.816,5.105,,,,9.63,6.249,5.927,5.199,,,,9.66,6.41,6.042,5.295,,,,9.69,6.572,6.157,5.392
9.6,5.886,5.653,4.965,,,,9.63,6.121,5.831,5.117,,,,9.66,6.18,5.873,5.151,,,,9.69,6.335,5.985,5.246
9.6,5.698,5.504,4.838,,,,9.63,6.031,5.762,5.058,,,,9.66,6.086,5.802,5.091,,,,9.69,6.125,5.829,5.112
9.6,5.628,5.447,4.789,,,,9.63,5.837,5.612,4.928,,,,9.66,5.979,5.72,5.02,,,,9.69,6.049,5.771,5.063
9.6,5.603,5.427,4.772,,,,9.63,5.663,5.473,4.809,,,,9.66,5.799,5.579,4.899,,,,9.69,5.938,5.686,4.989
9.6,5.419,5.276,4.641,,,,9.63,5.593,5.416,4.76,,,,9.66,5.636,5.448,4.786,,,,9.69,5.77,5.553,4.875
9.6,5.253,5.138,4.522,,,,9.63,5.547,5.38,4.729,,,,9.66,5.555,5.383,4.729,,,,9.69,5.617,5.43,4.768
9.6,5.154,5.055,4.449,,,,9.63,5.378,5.24,4.607,,,,9.66,5.504,5.341,4.693,,,,9.69,5.514,5.346,4.695
9.6,5.015,4.933,4.342,,,,9.63,5.224,5.11,4.495,,,,9.66,5.346,5.21,4.579,,,,9.69,5.47,5.309,4.663
9.6,4.878,4.812,4.234,,,,9.63,5.116,5.018,4.414,,,,9.66,5.202,5.087,4.471,,,,9.69,5.322,5.185,4.554
9.6,4.756,4.702,4.136,,,,9.63,4.982,4.901,4.31,,,,9.66,5.075,4.979,4.376,,,,9.69,5.187,5.071,4.454
9.6,4.737,4.684,4.12,,,,9.63,4.857,4.789,4.21,,,,9.66,4.959,4.876,4.284,,,,9.69,5.059,4.96,4.356
9.6,4.693,4.644,4.084,,,,9.63,4.744,4.686,4.117,,,,9.66,4.843,4.771,4.19,,,,9.69,5.031,4.936,4.334
9.6,4.585,4.544,3.993,,,,9.63,4.7,4.646,4.081,,,,9.66,4.739,4.676,4.103,,,,9.69,4.942,4.856,4.262
9.6,4.492,4.456,3.911,,,,9.63,4.673,4.621,4.058,,,,9.66,4.667,4.609,4.041,,,,9.69,4.834,4.758,4.173
9.6,4.409,4.377,3.838,,,,9.63,4.577,4.531,3.975,,,,9.66,4.665,4.607,4.039,,,,9.69,4.738,4.669,4.091
9.6,4.385,4.353,3.816,,,,9.63,4.494,4.452,3.901,,,,9.66,4.581,4.527,3.965,,,,9.69,4.653,4.588,4.016
9.6,4.37,4.339,3.802,,,,9.63,4.349,4.313,3.772,,,,9.66,4.433,4.387,3.835,,,,9.69,4.63,4.567,3.996
9.6,4.257,4.223,3.686,,,,9.63,4.337,4.301,3.761,,,,9.66,4.306,4.265,3.72,,,,9.69,4.519,4.462,3.898
9.6,4.2,4.161,3.621,,,,9.63,4.312,4.276,3.736,,,,9.66,4.292,4.251,3.707,,,,9.69,4.388,4.337,3.781
9.6,4.149,4.114,3.578,,,,9.63,4.245,4.205,3.663,,,,9.66,4.282,4.241,3.698,,,,9.69,4.374,4.323,3.767
9.6,4.094,4.063,3.534,,,,9.63,4.186,4.147,3.607,,,,9.66,4.224,4.181,3.637,,,,9.69,4.28,4.231,3.679
9.6,4.042,4.017,3.494,,,,9.63,4.126,4.089,3.553,,,,9.66,4.158,4.115,3.571,,,,9.69,4.221,4.172,3.622
9.6,4.019,3.996,3.476,,,,9.63,4.073,4.038,3.506,,,,9.66,4.103,4.059,3.518,,,,9.69,4.19,4.14,3.59
9.6,3.99,3.968,3.451,,,,9.63,4.02,3.989,3.461,,,,9.66,4.052,4.01,3.47,,,,9.69,4.133,4.081,3.53
9.6,3.912,3.894,3.385,,,,9.63,3.989,3.96,3.436,,,,9.66,4.025,3.983,3.446,,,,9.69,4.084,4.031,3.479
9.6,3.74,3.712,3.197,,,,9.63,3.95,3.919,3.394,,,,9.66,3.99,3.946,3.407,,,,9.69,4.061,4.007,3.456
9.6,3.655,3.613,3.085,,,,9.63,3.928,3.895,3.368,,,,9.66,3.965,3.918,3.376,,,,9.69,4.031,3.974,3.42
9.6,3.655,3.613,3.085,,,,9.63,3.902,3.866,3.338,,,,9.66,3.932,3.881,3.337,,,,9.69,4.008,3.947,3.39
9.6,3.616,3.543,2.984,,,,9.63,3.796,3.747,3.208,,,,9.66,3.897,3.843,3.296,,,,9.69,3.981,3.915,3.354
