logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag
9.6,22.607,19.983,18.146,,,,9.65,22.606,19.983,18.146,,,,9.7,22.606,19.983,18.145
9.6,22.087,19.5,17.672,,,,9.65,22.087,19.5,17.672,,,,9.7,22.087,19.499,17.671
9.6,21.03,18.588,16.793,,,,9.65,21.028,18.587,16.792,,,,9.7,21.506,18.957,17.14
9.6,20.989,18.557,16.764,,,,9.65,19.477,17.367,15.66,,,,9.7,21.025,18.585,16.79
9.6,19.479,17.369,15.662,,,,9.65,18.472,16.55,14.891,,,,9.7,19.475,17.366,15.659
9.6,18.474,16.551,14.892,,,,9.65,17.139,15.432,13.831,,,,9.7,18.715,16.747,15.079
9.6,18.375,16.47,14.815,,,,9.65,16.034,14.474,12.907,,,,9.7,18.47,16.548,14.889
9.6,17.141,15.434,13.833,,,,9.65,15.305,13.822,12.289,,,,9.7,17.136,15.429,13.829
9.6,16.037,14.477,12.91,,,,9.65,14.671,13.246,11.742,,,,9.7,16.029,14.47,12.904
9.6,15.31,13.827,12.294,,,,9.65,14.083,12.703,11.225,,,,9.7,15.299,13.817,12.284
9.6,14.745,13.314,11.807,,,,9.65,14.057,12.678,11.201,,,,9.7,15.225,13.75,12.221
9.6,14.674,13.249,11.744,,,,9.65,13.452,12.104,10.655,,,,9.7,14.668,13.244,11.74
9.6,14.059,12.681,11.204,,,,9.65,12.834,11.497,10.076,,,,9.7,14.403,13,11.507
9.6,13.455,12.107,10.658,,,,9.65,12.179,10.828,9.426,,,,9.7,14.054,12.675,11.199
9.6,12.838,11.501,10.079,,,,9.65,11.513,10.131,8.758,,,,9.7,13.448,12.1,10.652
9.6,12.459,11.116,9.707,,,,9.65,10.966,9.55,8.233,,,,9.7,12.829,11.492,10.071
9.6,12.187,10.836,9.433,,,,9.65,10.807,9.386,8.088,,,,9.7,12.499,11.157,9.747
9.6,11.523,10.142,8.768,,,,9.65,9.939,8.599,7.426,,,,9.7,12.171,10.819,9.417
9.6,10.823,9.402,8.102,,,,9.65,9.792,8.489,7.337,,,,9.7,11.501,10.119,8.747
9.6,9.965,8.62,7.445,,,,9.65,8.882,7.837,6.809,,,,9.7,10.789,9.368,8.072
9.6,9.34,8.159,7.071,,,,9.65,8.575,7.611,6.621,,,,9.7,9.908,8.574,7.405
9.6,8.916,7.861,6.83,,,,9.65,8.073,7.251,6.321,,,,9.7,9.303,8.13,7.046
9.6,8.212,7.351,6.405,,,,9.65,7.625,6.928,6.049,,,,9.7,8.845,7.809,6.786
9.6,8.112,7.28,6.346,,,,9.65,7.347,6.729,5.88,,,,9.7,8.172,7.32,6.378
9.6,7.982,7.186,6.267,,,,9.65,6.891,6.396,5.596,,,,9.7,8.031,7.22,6.294
9.6,7.39,6.761,5.909,,,,9.65,6.703,6.256,5.477,,,,9.7,7.949,7.161,6.244
9.6,7.117,6.563,5.74,,,,9.65,6.614,6.189,5.421,,,,9.7,7.393,6.76,5.906
9.6,6.752,6.294,5.512,,,,9.65,6.356,6.003,5.263,,,,9.7,7.299,6.692,5.848
9.6,6.623,6.198,5.43,,,,9.65,6.129,5.836,5.12,,,,9.7,7.175,6.602,5.771
9.6,6.34,5.996,5.258,,,,9.65,6.098,5.812,5.1,,,,9.7,6.745,6.285,5.5
9.6,6.153,5.857,5.141,,,,9.65,5.931,5.684,4.989,,,,9.7,6.647,6.211,5.438
9.6,6.099,5.816,5.105,,,,9.65,5.753,5.544,4.869,,,,9.7,6.627,6.196,5.424
9.6,5.886,5.653,4.965,,,,9.65,5.592,5.414,4.757,,,,9.7,6.388,6.023,5.278
9.6,5.698,5.504,4.838,,,,9.65,5.568,5.394,4.74,,,,9.7,6.174,5.865,5.143
9.6,5.628,5.447,4.789,,,,9.65,5.462,5.307,4.664,,,,9.7,6.036,5.76,5.053
9.6,5.603,5.427,4.772,,,,9.65,5.306,5.176,4.551,,,,9.7,5.985,5.721,5.019
9.6,5.419,5.276,4.641,,,,9.65,5.162,5.055,4.444,,,,9.7,5.815,5.588,4.904
9.6,5.253,5.138,4.522,,,,9.65,5.089,4.992,4.389,,,,9.7,5.661,5.464,4.797
9.6,5.154,5.055,4.449,,,,9.65,5.052,4.96,4.361,,,,9.7,5.512,5.343,4.691
9.6,5.015,4.933,4.342,,,,9.65,4.925,4.847,4.26,,,,9.7,5.499,5.333,4.682
9.6,4.878,4.812,4.234,,,,9.65,4.81,4.743,4.166,,,,9.7,5.362,5.217,4.582
9.6,4.756,4.702,4.136,,,,9.65,4.707,4.648,4.08,,,,9.7,5.227,5.103,4.481
9.6,4.737,4.684,4.12,,,,9.65,4.678,4.621,4.055,,,,9.7,5.097,4.991,4.382
9.6,4.693,4.644,4.084,,,,9.65,4.635,4.581,4.018,,,,9.7,5.016,4.92,4.319
9.6,4.585,4.544,3.993,,,,9.65,4.552,4.502,3.944,,,,9.7,4.975,4.884,4.286
9.6,4.492,4.456,3.911,,,,9.65,4.405,4.363,3.814,,,,9.7,4.866,4.785,4.197
