,Mv,B-V,U-B,V-I,R-I,,Mv,U-B,B-V,V-J,V-H,V-Ks
1,-5,-0.33,-1.21,-0.36,-0.19,,-4.25,-1.18,-0.33,-0.79,-0.91,-1
2,-4.5,-0.33,-1.19,-0.36,-0.19,,-2.67,-1.06,-0.3,-0.71,-0.83,-0.9
3,-4,-0.325,-1.17,-0.355,-0.18,,-2.14,-0.99,-0.275,-0.65,-0.76,-0.81
4,-3.5,-0.32,-1.15,-0.35,-0.18,,-1.60,-0.89,-0.25,-0.58,-0.68,-0.73
5,-3,-0.31,-1.1,-0.33,-0.17,,-1.10,-0.79,-0.225,-0.51,-0.6,-0.64
6,-2.5,-0.295,-1.04,-0.32,-0.16,,-0.71,-0.7,-0.2,-0.44,-0.52,-0.55
7,-2,-0.27,-0.97,-0.3,-0.15,,-0.31,-0.6,-0.175,-0.36,-0.44,-0.47
8,-1.5,-0.245,-0.87,-0.27,-0.14,,0.08,-0.5,-0.15,-0.29,-0.37,-0.39
9,-1,-0.22,-0.77,-0.24,-0.12,,0.43,-0.4,-0.125,-0.215,-0.3,-0.31
10,-0.5,-0.185,-0.65,-0.205,-0.105,,0.72,-0.3,-0.1,-0.15,-0.23,-0.23
11,0,-0.155,-0.52,-0.17,-0.085,,1.00,-0.2,-0.075,-0.1,-0.16,-0.16
12,0.5,-0.12,-0.38,-0.13,-0.06,,1.24,-0.11,-0.05,-0.06,-0.1,-0.1
13,1,-0.075,-0.2,-0.08,-0.04,,1.39,-0.05,-0.025,-0.03,-0.04,-0.05
14,1.5,-0.01,-0.01,-0.015,-0.005,,,,,,,
15,2,0.085,0.08,0.09,0.06,,,,,,,
16,2.5,0.2,0.085,0.23,0.13,,,,,,,
17,3,0.31,0.03,0.365,0.19,,,,,,,
18,3.5,0.395,-0.01,0.465,0.235,,,,,,,
19,4,0.475,-0.01,0.55,0.275,,,,,,,
20,4.5,0.56,0.05,0.63,0.31,,,,,,,
21,5,0.64,0.15,0.69,0.34,,,,,,,
22,5.5,0.72,0.29,0.77,0.37,,,,,,,
23,6,0.81,0.47,0.86,0.42,,,,,,,
24,6.5,0.9,0.65,0.97,0.47,,,,,,,
25,7,1.01,0.84,1.1,0.51,,,,,,,
26,7.5,1.12,1,1.25,0.58,,,,,,,
27,8,1.22,1.13,1.4,0.66,,,,,,,
28,8.5,1.32,1.21,1.56,0.745,,,,,,,
29,9,1.38,1.22,1.7,0.84,,,,,,,
30,9.5,1.43,1.2,1.86,0.95,,,,,,,
31,10,1.47,1.18,2,1.04,,,,,,,
32,11,1.54,1.17,2.31,1.23,,,,,,,
33,12,1.57,1.2,2.61,1.46,,,,,,,
34,13,1.61,1.3,2.9,1.66,,,,,,,
35,14,1.73,1.41,3.22,1.84,,,,,,,
36,15,1.84,1.5,3.48,1.95,,,,,,,
