Ref,V,B-V,U-B
29,18.79,1.09,0.56
29,17.7,0.86,0.12
29,16.95,0.89,0.2
29,19.79,1.18,0.68
29,17.84,1.04,0.39
29,17.51,1.01,0.28
29,20.15,0.7,0.1
29,18.72,0.9,0.11
29,18.72,1,0.25
29,18.83,0.88,0.15
29,19.84,1.23,0.72
29,17.37,1.5,1.16
29,18.38,0.95,0.23
29,20.11,0.98,0.19
29,18.44,0.85,0.07
29,18.69,1.73,1.36
29,19.71,0.92,0.16
29,19.51,1.61,1.04
29,18.06,0.88,0.15
29,14.68,1.29,1.07
29,17.15,0.82,0.12
29,19.43,0.92,0.08
29,18.18,0.9,0.15
29,19.17,0.89,0.19
29,15.29,0.95,0.43
29,18.57,0.87,0.1
29,18.56,0.88,0.15
29,18.41,0.9,0.16
29,18.84,1.73,1.24
29,19.13,0.95,0.13
29,18.28,0.98,0.21
29,18.9,0.91,0.09
29,17.69,0.61,0.12
29,19.8,1.32,1.01
29,18.34,1.16,0.69
29,19.13,0.92,0.22
29,18.33,0.91,0.13
29,19.9,1.05,0.38
29,19.54,1.31,1.17
29,15.87,1.41,0.98
29,18.5,1.22,0.51
29,19.43,1.09,0.5
29,18.83,0.94,0.19
29,18.32,1.15,0.47
29,17.57,0.92,0.19
29,18.25,0.86,0.17
29,20.31,1.04,0.25
29,19.38,1.06,0.36
29,19.47,1.24,0.98
29,16.16,1.43,1.08
29,20.07,0.28,-0.32
29,16.02,1.43,1.03
29,19.92,0.94,0.2
29,18.58,0.92,0.13
29,19.89,1.02,0.47
29,20.23,1.05,0.22
29,18.81,0.85,0.11
29,19.59,0.92,0.23
29,19.42,0.89,0.15
29,17.99,1.26,0.7
29,19.58,0.98,0.34
29,18.21,1,0.27
29,18.54,0.92,0.09
29,18.93,0.9,0.19
29,19.24,0.94,0.25
29,19.8,0.83,0.09
29,18.45,0.9,0.15
29,19.61,0.98,0.23
29,19.14,1.29,1
29,19.65,0.93,0.17
29,19.16,0.99,0.32
29,18.32,0.9,0.14
29,18.39,0.87,0.15
29,17.21,0.9,0.23
29,16.98,1.17,0.53
29,19.89,1.06,0.35
29,19.14,1.16,0.82
29,19.42,0.9,0.16
29,19.21,0.83,0.1
29,17.74,0.63,0.13
29,19.37,0.93,0.15
29,19.65,0.94,0.16
29,18.84,0.88,0.18
29,18.98,1.77,1.4
29,20.1,1.02,0.44
29,18.33,0.9,0.18
29,15.28,0.69,0.02
29,17.26,0.54,0.14
29,19.65,1.22,1.04
29,19.25,0.96,0.26
29,18.3,0.91,0.17
29,19.72,0.99,0.22
29,19.17,0.93,0.22
29,17.7,1.14,0.6
29,17.53,0.7,0.13
29,19.52,0.93,0.19
29,18.05,1.22,0.67
29,18.58,0.87,0.13
29,19.21,0.91,0.17
29,19.04,0.88,0.06
29,18.46,0.9,0.18
29,19.78,0.92,0.22
29,18.18,0.94,0.14
29,18.89,0.87,0.12
29,18.18,1.23,0.56
29,19.68,0.98,0.2
29,16.72,1.15,0.72
29,19.05,0.86,0.16
29,18.75,0.85,0.1
29,16.53,0.77,0.11
29,18.03,0.84,0.12
29,18.42,1.19,0.53
29,19.51,0.92,0.08
29,18.79,0.86,0.12
29,20.08,0.93,0.16
29,14.31,1.67,1.22
29,19.16,0.95,0.16
29,19.73,0.9,0.2
29,16.54,0.9,0.22
29,15.59,1.45,1
29,19.02,1.13,0.73
29,18.51,0.88,0.13
29,17.98,1.24,0.71
29,19.55,0.98,0.19
29,18.83,0.9,0.2
29,18.35,1.2,0.59
29,20.61,0.93,0.55
29,18.95,0.94,0.18
29,17.65,0.82,0.14
29,18.68,0.88,0.13
29,19.45,1.15,0.54
29,19.81,0.98,0.25
29,19.56,0.97,0.22
29,17.23,0.86,0.16
29,20.03,1.12,0.36
29,15.9,0.51,0.06
29,18.6,0.93,0.2
29,19.5,0.97,0.26
29,19.48,0.9,0.13
29,20.08,0.99,0.28
29,17.84,1.32,0.93
29,18.8,0.9,0.16
29,18.72,0.88,
29,19.35,1.01,0.29
29,19.25,0.94,0.14
29,18.93,0.96,0.26
29,19.58,1.3,1.1
29,19.33,0.97,0.05
29,18.35,1.15,0.5
29,18.15,0.9,0.13
29,19.07,1.05,0.34
29,18.42,0.87,0.16
29,18.85,0.86,0.13
29,18.57,0.86,0.1
29,17.91,0.99,0.22
29,16.73,0.53,0.13
29,13.56,1.15,0.55
29,19.38,0.89,0.09
29,18.63,0.86,0.12
29,16.88,1.35,0.88
29,18.79,0.88,0.12
29,18.86,0.88,0.15
29,18.93,0.9,0.14
29,20.63,1.02,0.41
29,15.67,1.12,0.78
29,18.36,0.89,0.18
29,18.62,0.84,0.13
29,16.52,0.48,0.03
29,19.6,0.96,0.24
29,19.43,1.07,0.57
29,19.75,1,0.22
29,18.26,0.87,0.08
29,17.34,0.46,0.07
29,19.54,0.95,0.22
29,18.04,1.28,0.65
29,18.45,1.17,0.58
29,18.41,0.92,0.15
29,19.14,0.89,0.16
29,18.18,0.9,0.18
29,18.12,0.79,0.07
29,16.67,0.95,0.34
29,18.96,0.86,0.13
29,19.38,0.97,0.11
29,19.38,0.96,0.27
29,19.59,0.92,0.21
29,19.15,0.96,0.21
29,18.38,1.25,0.62
29,18.93,0.88,0.14
29,19.59,0.93,0.2
29,20.08,1,0.29
29,18.39,1.15,0.4
29,20.02,0.95,0.2
29,17.67,0.93,0.19
29,17.2,0.75,0.17
29,19.27,0.75,0.19
29,18.74,0.9,0.14
29,16.41,0.45,0.05
29,17.39,0.96,0.27
29,19.29,0.87,0.11
29,16.98,1.17,0.49
29,19.99,1.12,0.39
29,15.88,1.47,1.06
29,19.06,0.89,0.07
29,19.93,1.01,0.23
29,18.34,0.85,0.11
29,17.67,0.88,0.13
29,19.75,0.96,0.2
29,19.07,0.84,0.14
29,18.38,0.89,0.18
29,19.79,1,0.22
29,18.14,0.67,0.13
29,19.53,0.96,0.19
29,19.67,0.89,0.11
29,19.09,1.18,0.93
29,17.82,1.12,0.48
29,17.61,1.42,1.2
29,17.44,1,0.29
29,19.12,0.91,0.16
29,19,0.92,0.22
29,18.66,0.89,0.1
29,19.33,0.94,0.2
29,17.36,0.68,0.13
29,18.22,0.73,0.11
29,18.99,0.86,0.1
29,19.97,0.99,0.1
29,19.3,0.9,0.1
29,18.5,0.88,0.16
29,17.94,0.84,0.1
29,18.87,0.92,0.18
29,19.84,0.96,0.12
29,16.7,1.38,0.95
29,18.69,1.18,0.6
29,19.38,0.98,0.21
29,19.62,0.96,0.21
29,18.79,1.09,0.48
29,17.91,1.06,0.38
29,18.34,0.96,0.19
29,19.61,0.99,0.26
29,18.29,0.94,0.21
29,19.44,0.98,0.19
29,18.9,1.15,0.61
29,19.3,0.88,0.13
29,18.18,0.98,0.23
29,19.46,1.02,0.25
29,19.97,1.06,0.45
29,17.98,1.17,0.73
29,19.32,0.96,0.18
29,19.29,0.99,0.22
29,19.33,1.2,1.03
29,19.77,1.01,0.17
29,18.99,1.03,0.28
29,18.5,1.24,0.64
29,19.58,1.01,0.31
29,18.92,1.17,0.69
29,19.97,1.07,0.53
29,19.11,0.86,0.13
29,16.01,1.41,0.98
29,18.45,0.84,0.09
29,18.21,0.87,0.14
29,19.94,0.92,0.18
29,18.45,0.86,0.16
29,14.86,0.76,0.12
29,19.3,0.82,0.03
29,20.07,0.94,0.18
29,19.03,1.72,
29,19.75,1.17,0.56
29,18.47,0.74,0.04
29,19.04,0.88,0.11
29,17.59,0.8,0.1
29,18.32,0.87,0.11
29,16.02,0.93,0.19
29,18.25,0.96,0.24
29,19.72,0.95,0.22
29,20.28,1.01,0.28
29,19.3,0.99,0.25
29,19.03,0.97,0.14
29,17.89,1.22,0.71
29,18.98,0.86,0.07
29,18.69,0.85,0.07
29,19.08,0.9,0.16
29,16.45,1.45,1.07
29,18.65,0.93,0.13
29,16.88,1,0.37
29,18.82,1.03,0.32
29,18.1,0.97,0.17
29,18.95,0.89,0.19
29,19.95,1.06,0.4
29,18.88,0.89,0.15
29,19.51,0.85,0.1
29,20.01,1.01,0.29
29,18.16,1.22,0.83
29,19.86,0.97,0.24
29,19.57,1.03,0.28
29,15.9,1.37,0.91
29,19.87,1.16,0.47
29,19.4,0.9,0.16
29,19.86,0.98,0.25
29,18.74,1.09,0.41
29,20.16,0.98,0.14
29,20.04,1.18,0.5
29,18.2,1.27,0.74
29,17.25,1.06,0.38
29,17.86,1.02,0.25
29,19.52,0.87,0.11
29,18.96,0.97,0.21
29,17.27,1.1,0.58
29,18.82,0.88,0.09
29,18.89,0.86,0.04
29,19.16,0.92,0.13
29,17.77,0.9,0.18
29,18.92,0.99,0.23
29,19.31,0.94,0.12
29,18.91,0.87,0.09
29,18.33,0.96,0.24
29,19.76,0.91,0.13
29,19.42,1.14,0.48
29,20.07,0.99,0.19
29,18.34,0.94,0.19
29,18.09,1.09,0.59
29,18.79,0.89,0.07
29,18.76,1.06,0.41
29,19.98,1.08,0.3
29,19.9,0.96,0.18
29,19.96,1.02,0.24
29,17.64,1.1,0.45
29,17.99,1.1,0.53
29,18.62,0.93,0.18
29,19.87,0.92,0.11
29,18.67,1.13,0.56
29,19.75,0.93,0.2
29,19.7,1.21,0.67
29,18.94,0.92,0.18
29,20.19,1.03,0.29
29,18.61,0.94,0.21
29,19.3,0.88,0.03
29,18.95,0.93,0.22
29,20.34,0.97,0.23
29,18.19,1.07,0.2
29,20.23,1.17,0.62
29,18.5,0.91,0.19
29,19.28,1.25,0.76
29,20.38,1.36,1.03
29,20.79,1.37,
29,20.29,1.52,
29,21.42,1.72,
29,19.92,1.13,0.41
29,20.42,1.05,0.49
29,21.16,1.17,
29,21.11,1.08,0.48
29,20.93,1.59,
29,21.74,1.27,
29,21.31,1.24,
29,20.12,0.99,0.35
29,22.2,1.01,
29,20.31,1.05,0.36
29,20.22,0.99,0.34
29,20.93,1.22,
29,20.91,1.1,
29,19.02,1.76,1.5
29,21.33,1.17,
29,20.54,1.12,0.44
29,17.97,1.12,0.88
29,19.13,1.02,0.38
29,20.05,1.43,
29,21.78,1.86,
29,21.26,1.25,
29,21.81,1.82,
29,20.32,0.97,0.17
29,20.75,1.17,0.62
29,20.19,1.05,0.26
29,22.03,1.28,
29,21.1,1.22,
29,21.38,1.36,
29,21.35,1.26,
29,20.26,1.01,0.32
29,20.8,1.17,
29,19.95,1.28,0.56
29,20.76,1.15,0.52
29,19.21,0.9,0.1
29,21.46,1.24,
29,18.58,0.88,0.15
29,21.68,1.28,
29,17.81,0.99,0.25
29,20.52,1.11,0.39
29,20.68,1.06,0.4
29,20.19,1.13,0.47
29,20.81,1.72,
29,21.49,1.25,
29,16.24,0.79,0.11
29,21.17,1.02,0.3
29,20.14,1.26,0.77
29,22.08,1.25,
29,20.52,1.15,0.41
29,20.53,1.6,
29,20.98,1.46,
29,21.21,1.22,
29,20.36,1.05,0.35
29,21.88,1.22,
29,21.06,1.83,
29,20.39,1.13,0.43
29,20.26,1.04,0.33
29,21.8,1.38,
29,20.68,1.13,0.49
29,19.8,0.99,0.24
29,19.25,1.05,0.32
29,21.56,1.36,
29,20.66,1.24,
29,20.55,1.11,0.37
29,20.88,1.12,
29,18.8,0.94,0.19
29,20.96,1.19,0.5
29,18.15,1.3,0.76
29,21.87,1.41,
29,21.83,1.5,
29,22.2,1.58,
29,20.24,1.18,0.78
29,19.72,1.08,0.41
29,19.92,1.3,0.64
29,18.91,0.88,0.13
29,20.85,1.03,0.41
29,20.67,1.16,0.69
29,19.44,0.94,0.22
29,21.18,1.17,
29,21.28,1.71,
29,20.19,1.17,0.55
29,20.54,1.7,
29,20.56,1.06,0.47
29,21.26,1.21,
29,20.87,1.13,0.4
29,20.17,1.08,0.26
29,20.04,1.06,0.27
